,Code,Name,Close,Stocks,Marcap,Assets,Liabilities,Equity,Profit,P/E
681,014620,성광벤드,8570.0,28600000.0,245102000000.0,493607583789,59444804663,434162779126,421985270,0.5645394119076892
1276,065060,지엔코,829.0,98008044.0,81248668476.0,242443689488,98810684986,143633004502,726202031,0.565668515796233
1439,130740,티피씨글로벌,4185.0,11276679.0,47192901615.0,129421306633,46059852344,83361454289,826376236,0.5661237800793425
1601,012450,한화에어로스페이스,42150.0,50630000.0,2134054500000.0,10957363821358,7192748538823,3764615282535,85962467611,0.5668718686609007
1624,041440,현대에버다임,5930.0,17915944.0,106241547920.0,281634430091,94252682962,187381747129,2186204343,0.5669791724530121
1329,064820,케이프,4650.0,30901728.0,143693035200.0,3027389948065,2773956904374,253433043691,33822342681,0.5669861873860408
45,294870,HDC현대산업개발,24750.0,65907330.0,1631206417500.0,6541119545177,3667170293273,2873949251904,78793423866,0.567583584302792
1193,101930,인화정공,11700.0,9331705.0,109180948500.0,356529193041,164979836929,191549356112,6332318049,0.569988595712957
1371,052330,코텍,10850.0,15574552.0,168983889200.0,330072390836,34186723744,295885667092,2245826797,0.5711121152328669
1468,010770,평화홀딩스,4795.0,14625466.0,70129109470.0,552510757088,429972424468,122538332620,9439896839,0.5723034414665598
381,079960,동양이엔피,18450.0,7860000.0,145017000000.0,341185916630,87867371704,253318544926,5119616367,0.5724689443576375
1629,005380,현대차,215000.0,213668187.0,45938660205000.0,222820159000000,142711230000000,80108929000000,0,0.5734524325621679
1331,024880,케이피에프,4845.0,17718250.0,85844921250.0,423869930617,274581732887,149288197730,943627053,0.5750281841117649
1484,103140,풍산,32100.0,28024278.0,899579323800.0,2883956444404,1322391688223,1561564756181,80768375064,0.5760755807527526
920,089530,에이티세미콘,1555.0,30962842.0,48147219310.0,267224675112,183653151014,83571524098,19856329598,0.5761199144045793
752,016590,신대양제지,86100.0,4029782.0,346964230200.0,799458212907,198986796473,600471416434,14791375527,0.5778197274742987
