Num,Name,Value,Weight,Share
453,삼영전자,74.3966894,5.70744E-05,4.12
454,동성화인텍,73.4914055,5.63799E-05,2.58
455,포스코강판,73.310436,5.6241E-05,7.15
456,코웰패션,73.1401968,5.61104E-05,1.43
457,신라교역,72.560488,5.56657E-05,3.81
458,LG우,72.321048,5.5482E-05,4.43
459,서부T&D,71.930121,5.51821E-05,1.49
460,무림P&P,71.02736225,5.44895E-05,2.7
461,현대상사,70.618185,5.41756E-05,2.98
462,대창단조,70.1055,5.37823E-05,8.5
463,휴비스,69.96801,5.36768E-05,3.33
464,예스티,67.721982,5.19538E-05,3.5
465,다산네트웍스,67.410576,5.17149E-05,2.58
466,지누스,66.985824,5.1389E-05,0.51
467,S&TC,66.595716,5.10897E-05,4.48
468,헬릭스미스,66.231369,5.08102E-05,0.33
469,LG생활건강우,65.70462,5.04061E-05,0.41
470,신영증권,65.086336,4.99318E-05,1.27
471,선진,64.8383256,4.97415E-05,2.9
472,엠에스오토텍,64.8346174,4.97387E-05,3.19
473,한미약품,64.76746,4.96872E-05,0
474,태평양물산,64.6973877,4.96334E-05,4.9
475,파크시스템스,64.6257515,4.95785E-05,2.39
476,네오위즈,63.9033645,4.90243E-05,1.72
477,한미글로벌,63.76896,4.89212E-05,6.06
478,도화엔지니어링,63.7498412,4.89065E-05,2.12
479,이수화학,63.718614,4.88825E-05,3.93
480,서진시스템,63.715392,4.88801E-05,1.22
481,KG케미칼,63.02424,4.83498E-05,4.04
482,광주신세계,62.79724,4.81757E-05,2.39
483,일진파워,62.1946626,4.77134E-05,7.61
484,SIMPAC,61.9528459,4.75279E-05,3.22
485,게임빌,61.612595,4.72669E-05,3.09
486,동아타이어,60.5492095,4.64511E-05,3.57
487,조선내화,59.566152,4.56969E-05,1.68
488,코스맥스엔비티,59.126715,4.53598E-05,4.36
489,노바렉스,59.01762,4.52761E-05,3.26
490,아이씨디,58.4962815,4.48762E-05,1.7
491,동양생명,57.9884,4.44865E-05,0.9
492,현대차증권,57.7019745,4.42668E-05,1.96
493,슈프리마,57.530783,4.41355E-05,2.37
494,금호산업,57.47033,4.40891E-05,1.39
495,종근당,57.15822,4.38496E-05,0
496,디티알오토모티브,57.0490625,4.37659E-05,1.94
497,성신양회,56.7790194,4.35587E-05,3.32
498,상아프론테크,56.048935,4.29986E-05,2.4
499,세이브존I&C,55.9123252,4.28938E-05,4.18
500,엠씨넥스,55.8507475,4.28466E-05,0.83
501,코엔텍,55.4434599,4.25341E-05,1.12
502,모토닉,54.9704475,4.21713E-05,1.88
503,에코프로,54.233363,4.16058E-05,1.09
504,웅진씽크빅,53.0320118,4.06842E-05,1.3
505,오이솔루션,53.0197955,4.06748E-05,1.39
506,이수페타시스,52.0645505,3.9942E-05,3.09
507,비즈니스온,52.0076175,3.98983E-05,3.85
508,동아지질,51.191014,3.92718E-05,2.32
509,티웨이항공,51.0040755,3.91284E-05,1.92
510,쌍용차,50.8632715,3.90204E-05,1.64
511,S-Oil우,50.64368,3.88519E-05,2.31
512,카페24,50.075648,3.84162E-05,1.04
513,한솔홀딩스,49.996022,3.83551E-05,2.7
514,메드팩토,49.6038075,3.80542E-05,1.11
