,Code,Name,Min,Max,Mean,Std,Current,M/C,Cdf,C/M,Max/Current
384,004710,한솔테크닉스,6460.0,11650.0,8854.85254691689,1239.3029571484894,6540.0,1.3539529888252126,0.030890336752934316,0.7385780808148089,1.7813455657492354
17,018260,삼성에스디에스,150000.0,219500.0,179210.45576407507,12049.207936146464,157000.0,1.1414678711087585,0.032641697591702004,0.8760649557561839,1.3980891719745223
66,012510,더존비즈온,76094.35554687813,123543.53537845644,97642.23604842997,9889.964267702759,79700.0,1.2251221587005015,0.03482453702770277,0.8162451335144484,1.5501070938325776
481,021050,서원,2005.0,4425.0,2920.5898123324396,469.63143362036527,2070.0,1.4109129528176036,0.03505604307317155,0.7087609465934752,2.13768115942029
224,003060,에이프로젠제약,921.583095040497,1614.9999959480729,1238.744246520103,135.2703513839686,1000.0,1.2387442465201028,0.038786805449296864,0.807269137926746,1.614999995948073
487,002795,아모레G우,17000.0,28600.0,22131.099195710456,2437.4206628002453,17850.0,1.2398374899557678,0.039509592378534394,0.806557317472047,1.6022408963585435
153,042670,현대두산인프라코어,8100.0,48895.825887240884,21837.268141662116,7845.014809614413,8100.0,2.695959029834829,0.03996585013188565,0.3709255181304688,6.036521714474183
805,18064K,한진칼우,36300.0,69400.0,45943.163538873996,5569.383970833847,36300.0,1.2656518881232506,0.041684909104672416,0.7901066710237618,1.9118457300275482
926,381970,케이카,23000.0,25850.0,24500.0,782.905598696668,23150.0,1.0583153347732182,0.04232271570424671,0.9448979591836735,1.1166306695464363
177,001680,대상,23000.0,30700.0,26236.32707774799,1438.2264579493278,23800.0,1.1023666839389912,0.04513452708647883,0.90713917117559,1.2899159663865547
355,123690,한국화장품,8990.0,16800.0,12439.839142091152,1482.7618722350871,9930.0,1.2527531865147183,0.04525833990620505,0.7982418330797446,1.6918429003021147
616,002140,고려산업,2920.0,5030.0,3989.0080428954425,393.7213310125294,3335.0,1.1961043606882886,0.04834730958118693,0.8360474494253646,1.5082458770614693
424,003350,한국화장품제조,27000.0,48000.0,36712.60053619303,3848.67515868727,30350.0,1.2096408743391442,0.04914585600406126,0.8266916414727833,1.5815485996705108
237,006060,화승인더,6400.0,9430.0,7502.30563002681,583.5942975977813,6540.0,1.1471415336432431,0.0495810785563934,0.8717320144656155,1.4418960244648318
911,383800,LX홀딩스,8710.0,12250.0,10204.594594594595,851.9728802595706,8810.0,1.158296775776912,0.05082566005366338,0.863336599835792,1.3904653802497162
348,003120,일성신약,76000.0,96600.0,82784.71849865952,3760.3559140926413,76700.0,1.0793314015470603,0.0528180433244869,0.9264994964166237,1.259452411994785
438,015590,큐로,492.0,778.6458858528566,606.4383529329818,63.114606677222746,506.0,1.1984947686422567,0.055763769348580516,0.8343799457154693,1.5388258613692818
498,007540,샘표,42800.0,71600.0,52057.90884718499,5254.751861001724,43750.0,1.1898950593642283,0.0569358391465996,0.8404102463744232,1.6365714285714286
303,002390,한독,23100.0,40850.0,29475.871313672924,3780.2108669291288,23500.0,1.2542923963265074,0.05695843934438608,0.797262267497385,1.7382978723404254
195,071840,롯데하이마트,26700.0,43400.0,33737.2654155496,4208.606776187284,27150.0,1.2426248771841473,0.05876928929243064,0.8047480928162746,1.598526703499079
495,078000,텔코웨어,10800.0,14050.0,12088.471849865951,604.1643766091347,11150.0,1.0841678789117446,0.060171131007060515,0.9223663783544023,1.2600896860986548
709,033250,체시스,1241.25,2508.75,1758.0864611260054,282.8475008449198,1320.0,1.3318836826712162,0.06070969497422533,0.750816316027243,1.9005681818181819
504,002720,국제약품,5890.0,13936.830135157077,8403.906868540138,1650.7390446352467,5890.0,1.4268093155416193,0.06389213745711322,0.7008645017294398,2.3661850823696224
373,002620,제일파마홀딩스,14550.0,31000.0,21376.943699731903,2751.542439289072,17200.0,1.2428455639379012,0.06450251420387407,0.8046051971505971,1.802325581395349
338,012690,모나리자,3725.0,7840.0,5313.659517426274,769.6037937480424,4155.0,1.278859089633279,0.06609428248217812,0.7819469776664421,1.8868832731648617
839,008355,남선알미우,23300.0,104000.0,48177.74798927614,16525.924185461812,23300.0,2.067714505977517,0.0661135753055969,0.48362576028224347,4.463519313304721
183,034310,NICE,16700.0,22700.0,18877.345844504023,1283.0376761643238,16950.0,1.1137077194397653,0.06652608820155213,0.8979016509852654,1.3392330383480826
908,361610,SK아이이테크놀로지,138000.0,235500.0,189311.47540983607,30075.684686726974,145500.0,1.3011097966311758,0.07259856949404002,0.7685746449601663,1.6185567010309279
102,009240,한샘,72100.0,146500.0,104593.29758713137,10353.043971365705,89600.0,1.1673359105706627,0.07378030159264373,0.8566514496338428,1.6350446428571428
910,380440,엔에이치스팩19호,2085.0,2470.0,2186.782608695652,60.7056144414498,2100.0,1.0413250517598343,0.0764209842157771,0.9603149355813585,1.1761904761904762
